trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude
demo_trip_000010,demo_taxi_0063,2024-03-14T04:34:39.000,2024-03-14T04:50:37.000,958,8.81,,,11.0,59.0,30.63,0.0,0.0,0.0,30.63,Credit Card,Demo Taxi Co,41.97711687464359,-87.76803539404204,41.830469687026785,-87.67967476946767
demo_trip_000011,demo_taxi_0117,2024-03-12T09:11:26.000,2024-03-12T09:15:49.000,263,1.47,,,29.0,29.0,5.81,0.0,0.0,0.0,5.81,Mobile,Demo Globe Taxi,41.85808401449256,-87.71764241456451,41.86364368671171,-87.709948498337
demo_trip_000012,demo_taxi_0088,2024-03-07T07:03:39.000,2024-03-07T07:28:59.000,1520,8.98,,,19.0,10.0,41.69,6.55,0.0,2.28,50.52,Credit Card,Demo Globe Taxi,41.93481965371419,-87.78664142507161,41.97666322629461,-87.79680524422245
demo_trip_000013,demo_taxi_0091,2024-03-23T13:29:46.000,2024-03-23T14:06:01.000,2175,14.13,,,13.0,10.0,62.65,15.03,0.0,0.0,77.68,Cash,Demo City Service,41.982324168211576,-87.74072733277674,41.990254073200646,-87.78018813213741
demo_trip_000014,demo_taxi_0086,2024-03-17T12:47:41.000,2024-03-17T13:11:16.000,1415,7.0,,,23.0,11.0,20.97,0.0,0.0,0.0,20.97,Mobile,Demo Taxi Co,41.8932861198578,-87.69500142371156,41.97999247862135,-87.75983863850502
demo_trip_000015,demo_taxi_0094,2024-03-10T15:09:39.000,2024-03-10T15:48:44.000,2345,17.97,,,6.0,36.0,72.71,0.0,0.0,0.0,72.71,Credit Card,Demo Sun Taxi,41.95261811352408,-87.65003932721208,41.82105643959186,-87.60489099905661
demo_trip_000016,demo_taxi_0061,2024-03-12T09:24:50.000,2024-03-12T09:32:03.000,433,1.01,,,54.0,48.0,3.78,0.0,0.0,0.0,3.78,Cash,Demo Globe Taxi,41.67586176230207,-87.60382473816925,41.73457662055835,-87.57711520009448
demo_trip_000017,demo_taxi_0015,2024-03-19T03:09:42.000,2024-03-19T03:37:23.000,1661,5.71,,,34.0,5.0,17.99,4.01,0.0,0.0,22.0,Credit Card,Demo Globe Taxi,41.84763378679518,-87.63029691697328,41.93954935313128,-87.6803704717138
demo_trip_000018,demo_taxi_0100,2024-03-19T16:14:48.000,2024-03-19T16:41:50.000,1622,5.9,,,36.0,75.0,15.35,0.0,0.0,0.0,15.35,Cash,Demo Sun Taxi,41.821246853416845,-87.60080944160761,41.68494677234876,-87.65766128187035
demo_trip_000019,demo_taxi_0054,2024-03-13T11:36:24.000,2024-03-13T12:15:49.000,2365,16.52,,,6.0,69.0,67.31,7.95,0.0,0.0,75.26,Credit Card,Demo Flash Cab,41.93916890193368,-87.64582763799095,41.76274362891743,-87.61323770155039
demo_trip_000020,demo_taxi_0060,2024-03-10T17:17:12.000,2024-03-10T17:39:28.000,1336,11.89,,,54.0,69.0,52.91,7.94,0.0,0.0,60.85,Credit Card,Demo Taxi Co,41.66177462179878,-87.61496925851031,41.7731494322892,-87.6212078211937
demo_trip_000021,demo_taxi_0044,2024-03-17T06:15:14.000,2024-03-17T06:48:38.000,2004,5.41,,,34.0,36.0,26.26,6.52,0.0,0.0,32.78,Credit Card,Demo City Service,41.82952353052309,-87.62983407878174,41.826803786330295,-87.60068723786877
demo_trip_000022,demo_taxi_0021,2024-03-17T01:59:36.000,2024-03-17T02:07:58.000,502,4.33,,,23.0,35.0,14.67,3.04,0.0,0.0,17.71,Cash,Demo City Service,41.89048641648099,-87.71834879885496,41.84193675928534,-87.61491969135852
demo_trip_000023,demo_taxi_0111,2024-03-16T08:10:31.000,2024-03-16T08:15:09.000,278,2.33,,,59.0,23.0,8.15,0.0,0.0,1.48,9.63,Unknown,Demo Sun Taxi,41.82400429601923,-87.67682307013474,41.91034344161331,-87.7053684206435
demo_trip_000024,demo_taxi_0093,2024-03-05T13:11:04.000,2024-03-05T13:40:34.000,1770,4.95,,,35.0,75.0,14.39,3.41,0.0,0.0,17.8,Dispute,Demo City Service,41.845510741010514,-87.62275346531848,41.695762336910335,-87.6795993584481
demo_trip_000025,demo_taxi_0077,2024-03-13T12:55:12.000,2024-03-13T12:58:20.000,188,222.95563469166308,,,5.0,5.0,3.498282199747234,0.0,0.0,0.0,3.08,Cash,Demo Flash Cab,41.94772658854931,-87.69504255968333,41.95659397482419,-87.67450749078444
demo_trip_000026,demo_taxi_0048,2024-03-16T19:33:58.000,2024-03-16T20:09:20.000,2122,10.29,,,1.0,54.0,47.58,11.67,0.0,1.8,61.05,Mobile,Demo Flash Cab,42.02132202712422,-87.67104555736893,41.646937601218525,-87.60367725528224
demo_trip_000027,demo_taxi_0098,2024-03-23T11:02:43.000,2024-03-23T11:06:29.000,226,0.7,,,19.0,59.0,3.43,0.61,0.0,0.0,4.04,Mobile,Demo Taxi Co,41.918388428559616,-87.78092940853122,41.82901891369346,-87.67123083454045
demo_trip_000028,demo_taxi_0065,2024-03-15T15:25:45.000,2024-03-15T15:54:13.000,1708,13.51,,,69.0,59.0,50.51,0.0,0.0,0.0,50.51,Cash,Demo Sun Taxi,41.75155392770615,-87.60647812822857,41.8246608450709,-87.68359756598487
demo_trip_000029,demo_taxi_0053,2024-03-11T16:33:11.000,2024-03-11T16:52:54.000,1183,7.1,,,11.0,46.0,21.47,0.0,0.0,0.0,21.47,Credit Card,Demo City Service,41.985551551915364,-87.76675350990584,41.73516608052067,-87.53952883831309
demo_trip_000030,demo_taxi_0054,2024-03-15T02:15:03.000,2024-03-15T02:41:55.000,1612,8.55,,,59.0,10.0,33.63,5.02,0.0,0.0,38.65,Cash,Demo Sun Taxi,41.82714684702364,-87.67817765208079,41.98902505363492,-87.81093134789964
demo_trip_000031,demo_taxi_0027,2024-03-07T14:32:17.000,2024-03-07T14:58:20.000,1563,11.97,,,36.0,23.0,41.06,6.32,0.0,0.0,47.38,Credit Card,Demo City Service,41.83045972862061,-87.61002714109539,41.90723664814577,-87.70922793273444
demo_trip_000032,demo_taxi_0011,2024-03-05T11:38:51.000,2024-03-05T11:58:17.000,1166,5.15,,,23.0,69.0,17.35,0.0,0.0,2.42,19.77,Mobile,Demo City Service,41.89652368448464,-87.71238496393902,41.77314143006732,-87.60551680440798
demo_trip_000033,demo_taxi_0066,2024-03-18T12:15:30.000,2024-03-18T12:36:18.000,1248,10.93,,,1.0,54.0,29.58,0.0,0.0,0.0,29.58,Credit Card,Demo City Service,42.01615193227644,-87.67270031153177,41.66818153844642,-87.59949741870663
demo_trip_000034,demo_taxi_0106,2024-03-24T06:48:47.000,2024-03-24T07:10:24.000,1297,9.24,,,51.0,69.0,24.79,0.0,0.0,1.51,26.3,Credit Card,Demo Taxi Co,41.69662229252811,-87.57945438996805,41.76354290950353,-87.61784007863268
demo_trip_000035,demo_taxi_0007,2024-03-21T18:27:29.000,2024-03-21T18:55:32.000,1683,8.11,,,10.0,5.0,27.96,0.0,0.0,0.0,27.96,Mobile,Demo Globe Taxi,41.97504636191784,-87.79484377405204,41.94263529477517,-87.69049748766989
demo_trip_000036,demo_taxi_0102,2024-03-16T21:57:29.000,2024-03-16T22:26:45.000,1756,11.01,,,69.0,69.0,53.02,12.48,0.0,0.0,65.5,Credit Card,Demo Taxi Co,41.76228216710885,-87.5947639089734,41.769537569998725,-87.61941570409479
demo_trip_000037,demo_taxi_0099,2024-03-04T02:05:36.000,2024-03-04T02:25:14.000,1178,4.91,,,59.0,5.0,21.15,0.0,0.0,2.25,23.4,Dispute,Demo Sun Taxi,41.83420827196529,-87.6743085863226,41.935391262653795,-87.68511091514078
demo_trip_000038,demo_taxi_0033,2024-03-24T16:19:57.000,2024-03-24T16:35:59.000,962,9.24,,,59.0,5.0,40.67,4.17,0.0,0.0,44.84,Dispute,Demo Taxi Co,41.83004568525122,-87.66837263943641,41.9432499478533,-87.68887038393837
demo_trip_000039,demo_taxi_0075,2024-03-13T18:43:26.000,2024-03-13T18:48:00.000,274,1.5,,,35.0,75.0,4.63,0.87,0.0,0.0,5.5,Cash,Demo Globe Taxi,41.8435841307294,-87.61225268505792,41.680426446290305,-87.66919578976768
demo_trip_000040,demo_taxi_0019,2024-03-10T09:53:35.000,2024-03-10T10:25:24.000,1909,17.08,,,29.0,69.0,74.06,0.0,0.0,0.0,74.06,Cash,Demo Taxi Co,41.86651582194557,-87.69835141955026,41.76936938640738,-87.6162563701448
demo_trip_000041,demo_taxi_0090,2024-03-22T18:13:55.000,2024-03-22T18:25:17.000,682,6.52,,,,,22.92,4.38,0.0,2.26,29.56,Credit Card,Demo Taxi Co,41.89876929181573,-87.72853143660873,41.89775995893187,-87.73986359604851
demo_trip_000042,demo_taxi_0084,2024-03-19T16:58:22.000,2024-03-19T17:17:25.000,1143,7.13,,,69.0,69.0,18.88,0.0,0.0,0.0,18.88,Credit Card,Demo City Service,41.75214109413926,-87.61342667830141,41.75917432327842,-87.60197163329885
demo_trip_000043,demo_taxi_0042,2024-03-19T21:11:50.000,2024-03-19T21:51:33.000,2383,18.34,,,6.0,23.0,63.95,8.59,0.0,0.0,72.54,Mobile,Demo Taxi Co,41.94181759701428,-87.64044988801086,41.89413059420592,-87.73680303111949
demo_trip_000044,demo_taxi_0008,2024-03-09T23:24:32.000,2024-03-09T23:56:34.000,1922,196.0395023761944,,,59.0,10.0,2.0536973815800272,0.0,0.0,0.0,35.41,Credit Card,Demo City Service,41.82713265334639,-87.67859510524696,41.97597777373246,-87.79141412486457
demo_trip_000045,demo_taxi_0116,2024-03-24T04:18:52.000,2024-03-24T04:34:39.000,947,2.75,,,11.0,67.0,12.74,0.0,0.0,0.0,12.74,Credit Card,Demo City Service,41.97767406448085,-87.77798736809238,41.783107724161106,-87.66977387258221
demo_trip_000046,demo_taxi_0053,2024-03-13T13:25:28.000,2024-03-13T13:46:02.000,1234,11.56,,,19.0,35.0,53.18,0.0,0.0,0.95,54.13,Credit Card,Demo Sun Taxi,41.92848275450615,-87.76087044791727,41.82853505540936,-87.61644829232036
demo_trip_000047,demo_taxi_0107,2024-03-15T15:54:37.000,2024-03-15T16:09:37.000,900,5.08,,,6.0,29.0,16.35,0.0,0.0,0.0,16.35,Cash,Demo Sun Taxi,41.93838930014196,-87.66283964010212,41.852739925631404,-87.71521489297812
demo_trip_000048,demo_taxi_0081,2024-03-19T07:43:19.000,2024-03-19T08:09:29.000,1570,14.02,,,11.0,75.0,56.5,13.56,0.0,0.0,70.06,Cash,Demo Flash Cab,41.9703598089819,-87.75877428312049,41.688910225822305,-87.67440708388142
demo_trip_000049,demo_taxi_0093,2024-03-17T10:47:38.000,2024-03-17T10:56:17.000,519,3.71,,,10.0,11.0,12.65,0.0,0.0,0.0,12.65,Credit Card,Demo City Service,41.98632577044997,-87.80646872619236,41.98503457422601,-87.77625983465568
demo_trip_000050,demo_taxi_0091,2024-03-07T23:15:19.000,2024-03-07T23:53:33.000,2294,6.91,,,11.0,46.0,19.94,0.0,0.0,0.0,19.94,Credit Card,Demo City Service,41.97399818602064,-87.75718215740697,41.74125167677283,-87.53379460670344
demo_trip_000051,demo_taxi_0023,2024-03-10T01:56:36.000,2024-03-10T02:36:07.000,2371,12.69,,,6.0,69.0,52.33,0.0,0.0,1.24,53.57,Mobile,Demo City Service,41.94244182785438,-87.6634723976018,41.766341857106994,-87.60538185990289
demo_trip_000052,demo_taxi_0043,2024-03-11T13:26:47.000,2024-03-11T13:40:49.000,842,3.11,,,34.0,48.0,13.68,3.05,0.0,0.0,16.73,Credit Card,Demo City Service,41.84657353624804,-87.63824911183977,41.73682482424859,-87.56568144691212
demo_trip_000053,demo_taxi_0056,2024-03-23T19:39:26.000,2024-03-23T19:50:57.000,691,2.42,,,1.0,75.0,10.74,2.45,0.0,0.0,13.19,Credit Card,Demo Sun Taxi,42.00781193811502,-87.67856095799061,41.694729803113574,-87.68241534613539
demo_trip_000054,demo_taxi_0059,2024-03-19T10:41:25.000,2024-03-19T11:04:22.000,1377,10.45,,,59.0,36.0,30.02,4.06,0.0,0.0,34.08,Credit Card,Demo Taxi Co,41.83164899510663,-87.66888994009969,41.8193877144002,-87.6022609540872
demo_trip_000055,demo_taxi_0005,2024-03-11T14:39:19.000,2024-03-11T15:06:14.000,1615,3.95,,,11.0,48.0,14.94,0.0,0.0,0.0,14.94,Cash,Demo Globe Taxi,41.98464126340793,-87.76588138266659,41.73416539605738,-87.56338271972645
demo_trip_000056,demo_taxi_0065,2024-03-19T22:36:43.000,2024-03-19T23:03:31.000,1608,15.22,,,75.0,13.0,38.96,0.0,0.0,2.46,41.42,Credit Card,Demo City Service,41.68524320400809,-87.66691068531064,41.99321679907233,-87.72310833146206
demo_trip_000057,demo_taxi_0018,2024-03-19T13:28:35.000,2024-03-19T13:33:08.000,273,1.53,,,35.0,19.0,4.17,0.0,0.0,0.0,4.17,Credit Card,Demo Flash Cab,41.8403323883197,-87.62302285317995,41.93673557512395,-87.77268293380824
demo_trip_000058,demo_taxi_0089,2024-03-12T07:38:30.000,2024-03-12T08:07:48.000,1758,10.36,,,46.0,23.0,28.0,0.0,0.0,0.95,28.95,Cash,Demo Globe Taxi,41.73618584594706,-87.56277556433075,41.90878504487656,-87.70909797386118
demo_trip_000059,demo_taxi_0081,2024-03-12T04:54:01.000,2024-03-12T04:59:28.000,327,1.46,,,1.0,6.0,3.86,0.0,0.0,0.0,3.86,Credit Card,Demo Globe Taxi,42.01806473540517,-87.66587361543424,41.94541068238676,-87.66208733271972
demo_trip_000060,demo_taxi_0110,2024-03-22T21:23:06.000,2024-03-22T21:38:45.000,939,2.69,,,51.0,10.0,8.97,0.0,0.0,0.0,8.97,Dispute,Demo Taxi Co,41.714183033669954,-87.56199316629039,41.99533573789287,-87.81286944607919
demo_trip_000061,demo_taxi_0089,2024-03-15T09:30:00.000,2024-03-15T09:59:31.000,1771,11.75,,,54.0,5.0,39.88,8.53,0.0,0.0,48.41,Mobile,Demo City Service,41.65344330452255,-87.59411512969913,41.95717847012444,-87.67937561170469
demo_trip_000062,demo_taxi_0043,2024-03-07T14:10:51.000,2024-03-07T14:46:40.000,2149,265.66348875915054,,,5.0,19.0,2.7682388047292354,0.0,0.0,0.0,43.85,Cash,Demo Taxi Co,41.9381672562466,-87.68633179478041,41.93756844392564,-87.75421835836892
demo_trip_000063,demo_taxi_0116,2024-03-19T06:21:51.000,2024-03-19T06:48:21.000,1590,10.98,,,29.0,46.0,36.51,0.0,0.0,2.16,38.67,Credit Card,Demo Sun Taxi,41.86064829891799,-87.72650125860473,41.74301209443417,-87.55516529589823
demo_trip_000064,demo_taxi_0049,2024-03-16T12:46:04.000,2024-03-16T12:54:58.000,534,3.41,,,48.0,48.0,9.72,2.05,0.0,0.0,11.77,Credit Card,Demo City Service,41.72800347149386,-87.58043383858454,41.73361452043854,-87.56789997767926
demo_trip_000065,demo_taxi_0039,2024-03-14T21:38:02.000,2024-03-14T22:06:11.000,1689,6.5,,,11.0,46.0,31.64,4.64,0.0,0.0,36.28,Cash,Demo City Service,41.97758555979019,-87.77393999789433,41.74796899056317,-87.55239276213227
demo_trip_000066,demo_taxi_0108,2024-03-19T14:12:46.000,2024-03-19T14:17:08.000,262,1.49,,,48.0,29.0,6.99,0.97,0.0,0.0,7.96,Credit Card,Demo Sun Taxi,41.736808063338344,-87.57405693483072,41.85973452841862,-87.70793270788047
demo_trip_000067,demo_taxi_0044,2024-03-23T22:32:31.000,2024-03-23T22:44:03.000,692,3.14,,,,,8.83,0.0,0.0,0.57,9.4,Cash,Demo Sun Taxi,41.95001581290973,-87.68116287039902,41.982202418248384,-87.77997109925774
demo_trip_000068,,2024-03-10T09:48:18.000,2024-03-10T09:55:52.000,454,1.83,,,35.0,69.0,6.23,1.26,0.0,0.0,7.49,Credit Card,Demo City Service,41.82506856389026,-87.62350157764986,41.75333485729856,-87.61786407936854
demo_trip_000069,demo_taxi_0056,2024-03-12T14:07:36.000,2024-03-12T14:47:02.000,2366,18.92,,,23.0,1.0,55.25,11.65,0.0,0.0,66.9,Cash,Demo Flash Cab,41.90901492722389,-87.72075601914196,42.01897451445559,-87.66998685346829
demo_trip_000070,demo_taxi_0095,2024-03-07T20:03:14.000,2024-03-07T20:19:51.000,997,2.3,,,54.0,69.0,11.26,1.65,0.0,0.0,12.91,Credit Card,Demo Globe Taxi,41.67720555672956,-87.60729086773901,41.76106947348809,-87.61259319669222
demo_trip_000071,demo_taxi_0022,2024-03-17T13:23:11.000,2024-03-17T13:46:50.000,1419,6.01,,,6.0,19.0,20.37,0.0,0.0,0.0,20.37,Cash,Demo City Service,41.93637196359222,-87.66230589265037,41.9177878268125,-87.7452421496296
demo_trip_000072,demo_taxi_0055,2024-03-12T09:39:22.000,2024-03-12T10:11:37.000,1935,12.01,,,29.0,1.0,32.97,0.0,0.0,0.0,32.97,Credit Card,Demo Taxi Co,41.86223344685744,-87.69059633852524,42.008922336216884,-87.67481499440221
demo_trip_000073,demo_taxi_0015,2024-03-11T20:18:53.000,2024-03-11T20:57:45.000,2332,13.51,,,35.0,11.0,58.32,0.0,0.0,0.0,58.32,Credit Card,Demo Globe Taxi,41.828284856246725,-87.62367177270568,41.97695414367117,-87.78128438293011
demo_trip_000074,demo_taxi_0082,2024-03-18T12:49:46.000,2024-03-18T13:29:35.000,2389,22.15,,,1.0,10.0,94.79,0.0,0.0,0.0,94.79,Cash,Demo City Service,42.000723685617494,-87.65775414831646,41.98901783772125,-87.78156375857957
demo_trip_000075,demo_taxi_0057,2024-03-12T15:50:11.000,2024-03-12T15:59:15.000,544,4.65,,,48.0,59.0,14.43,2.38,0.0,0.0,16.81,Cash,Demo Taxi Co,41.72803639678505,-87.56214659440654,41.82478942453515,-87.65980242659641
demo_trip_000076,demo_taxi_0039,2024-03-13T22:31:33.000,2024-03-13T22:49:07.000,1054,8.28,,,,,27.35,5.77,0.0,0.0,33.12,Unknown,Demo Sun Taxi,41.82565758248679,-87.65787144914437,41.72727949243747,-87.5792512241917
demo_trip_000077,demo_taxi_0027,2024-03-13T08:22:53.000,2024-03-13T08:40:52.000,1079,6.56,,,46.0,6.0,23.21,0.0,0.0,0.0,23.21,Credit Card,Demo City Service,41.74977417352518,-87.54095210292243,41.94165230889117,-87.65535722141429
demo_trip_000078,demo_taxi_0067,2024-03-09T09:02:57.000,2024-03-09T09:35:24.000,1947,10.59,,,10.0,46.0,33.56,0.0,0.0,0.0,33.56,Credit Card,Demo City Service,41.9752239251091,-87.79617777686667,41.73446734368737,-87.53823492625801
demo_trip_000079,demo_taxi_0080,2024-03-06T02:49:45.000,2024-03-06T03:05:10.000,925,2.31,,,51.0,35.0,7.44,0.0,0.0,0.0,7.44,Cash,Demo Taxi Co,41.675311685920924,-87.5561135408879,41.83350793208849,-87.62459198500021
demo_trip_000080,demo_taxi_0112,2024-03-21T12:53:07.000,2024-03-21T13:04:40.000,693,245.61061201221298,,,51.0,11.0,3.5947175834721325,5.91,0.0,0.0,32.08,Credit Card,Demo City Service,41.695887834833286,-87.55655335137266,41.96788514131907,-87.76554424966434
demo_trip_000081,demo_taxi_0052,2024-03-05T08:26:14.000,2024-03-05T08:57:10.000,1856,10.12,,,29.0,13.0,44.32,0.0,0.0,0.0,44.32,Mobile,Demo Flash Cab,41.86402510527208,-87.68927418385816,41.977889420448925,-87.71201355483262
demo_trip_000082,demo_taxi_0019,2024-03-10T17:30:13.000,2024-03-10T17:51:32.000,1279,5.92,,,34.0,5.0,25.05,5.28,0.0,0.0,30.33,Credit Card,Demo Flash Cab,41.84915342138936,-87.63762960633939,41.950098329579156,-87.68913219180345
demo_trip_000083,demo_taxi_0099,2024-03-18T08:45:09.000,2024-03-18T09:15:48.000,1839,12.45,,,5.0,1.0,52.5,0.0,0.0,0.0,52.5,Mobile,Demo City Service,41.94164585455312,-87.67509934087153,42.00825509745042,-87.66707770803393
demo_trip_000084,demo_taxi_0075,2024-03-06T17:41:10.000,2024-03-06T17:58:13.000,1023,8.06,,,34.0,51.0,30.67,0.0,0.0,0.0,30.67,Cash,Demo Sun Taxi,41.843880735342054,-87.63687556234987,41.67438863953528,-87.55778476769986
demo_trip_000085,demo_taxi_0084,2024-03-17T09:08:18.000,2024-03-17T09:29:18.000,1260,7.74,,,34.0,36.0,26.14,0.0,0.0,0.0,26.14,Credit Card,Demo Sun Taxi,41.854872967408134,-87.63795195009074,41.81703428162339,-87.5981231684243
demo_trip_000086,demo_taxi_0011,2024-03-19T11:40:33.000,2024-03-19T11:43:53.000,200,0.67,,,10.0,29.0,2.88,0.0,0.0,0.0,2.88,Credit Card,Demo Globe Taxi,41.976933899995906,-87.81608175014556,41.866963197858006,-87.71845507530178
demo_trip_000087,demo_taxi_0037,2024-03-17T11:55:23.000,2024-03-17T11:58:58.000,215,1.96,,,23.0,46.0,5.47,0.0,0.0,0.0,5.47,Cash,Demo City Service,41.91259477812325,-87.70438593053368,41.74259407934049,-87.55256691606441
demo_trip_000088,demo_taxi_0092,2024-03-10T17:45:25.000,2024-03-10T17:48:25.000,180,0.0,,,34.0,36.0,1.57,0.0,0.0,0.0,1.57,Cash,Demo Sun Taxi,41.83779419727312,-87.6336244978961,41.82584614323301,-87.59845126231161
demo_trip_000089,demo_taxi_0099,2024-03-04T13:28:14.000,2024-03-04T13:37:42.000,568,5.39,,,69.0,23.0,15.18,0.0,0.0,0.0,15.18,Credit Card,Demo Globe Taxi,41.759731921470525,-87.60769879822594,41.90187401034864,-87.70995946129491
demo_trip_000090,demo_taxi_0052,2024-03-22T11:31:09.000,2024-03-22T11:47:00.000,951,5.27,,,29.0,23.0,22.83,5.03,0.0,0.0,27.86,Cash,Demo Globe Taxi,41.85557163069056,-87.70331885569625,41.90653464362264,-87.72129968496985
demo_trip_000091,demo_taxi_0096,2024-03-10T19:15:59.000,2024-03-10T19:20:50.000,291,2.71,,,54.0,23.0,10.78,1.17,0.0,0.0,11.95,Cash,Demo Flash Cab,41.66390035914696,-87.6111243844184,41.89236816682659,-87.70711692081629
demo_trip_000092,demo_taxi_0101,2024-03-20T15:39:35.000,2024-03-20T15:48:31.000,536,4.87,,,10.0,1.0,17.66,0.0,0.0,0.0,17.66,Cash,Demo City Service,41.97241223819265,-87.79238272000991,42.008695483836355,-87.6654947677028
demo_trip_000093,demo_taxi_0046,2024-03-08T08:14:13.000,2024-03-08T08:48:33.000,2060,10.85,,,54.0,54.0,40.04,0.0,0.0,0.0,40.04,Cash,Demo Globe Taxi,41.68497855908371,-87.6047679025544,41.65208306047211,-87.6014170460289
demo_trip_000094,demo_taxi_0107,2024-03-07T20:20:48.000,2024-03-07T20:20:48.000,0,0.0,,,75.0,67.0,78.04,0.0,0.0,0.0,78.04,Mobile,Demo Sun Taxi,41.688921450337084,-87.68490995497709,41.688921450337084,-87.68490995497709
demo_trip_000095,demo_taxi_0034,2024-03-20T10:15:49.000,2024-03-20T10:29:32.000,823,2.38,,,36.0,67.0,6.67,0.0,0.0,0.0,6.67,Cash,Demo City Service,41.82305092601991,-87.60636351114725,41.763357811252,-87.66597017801001
demo_trip_000096,demo_taxi_0028,2024-03-23T03:20:58.000,2024-03-23T03:58:59.000,2281,6.48,,,67.0,51.0,22.41,5.55,0.0,0.0,27.96,Credit Card,Demo Flash Cab,41.79193072275791,-87.6780407106193,41.665643808119356,-87.56866217875101
demo_trip_000097,demo_taxi_0081,2024-03-22T14:22:09.000,2024-03-22T14:29:30.000,441,2.16,,,48.0,69.0,9.5,0.0,0.0,0.79,10.29,Credit Card,Demo Sun Taxi,41.72571821215726,-87.55228641890984,41.762808268020954,-87.62367756968948
demo_trip_000098,demo_taxi_0076,2024-03-19T07:04:38.000,2024-03-19T07:08:47.000,249,1.69,,,51.0,29.0,7.0,0.0,0.0,0.0,7.0,Credit Card,Demo Sun Taxi,41.69592814652352,-87.56014612604436,41.856141470219285,-87.69402640172002
demo_trip_000099,demo_taxi_0016,2024-03-09T08:43:58.000,2024-03-09T09:00:04.000,966,2.21,,,69.0,48.0,7.93,1.54,0.0,0.0,9.47,Credit Card,Demo City Service,41.766165881051165,-87.60159396608138,41.73536843293125,-87.56562114380323
demo_trip_000100,demo_taxi_0099,2024-03-23T18:26:48.000,2024-03-23T18:39:35.000,767,4.67,,,59.0,23.0,14.29,2.17,0.0,0.0,16.46,Credit Card,Demo Taxi Co,41.833263116547485,-87.68144144985122,41.91088719004228,-87.72019054793444
demo_trip_000101,demo_taxi_0023,2024-03-18T07:56:13.000,2024-03-18T08:02:04.000,351,3.35,,,51.0,23.0,16.3,3.59,0.0,0.0,19.89,Cash,Demo Taxi Co,41.70349562684601,-87.58922922738125,41.89734531031161,-87.73460936245766
